p1;p2;p3;FD
0.3;0.0;0.8;-0.0
0.3;0.0;0.9;-0.0
0.3;0.0;1.0;-0.0
0.3;0.1;0.0;-0.0
0.3;0.1;0.1;1.1522807157692343
0.3;0.1;0.2;1.191508689278482
0.3;0.1;0.3;1.2289256422473385
0.3;0.1;0.4;1.1974238618795623
0.3;0.1;0.5;1.2284850282213364
0.3;0.1;0.6;1.1973865627804148
0.3;0.1;0.7;1.2082904081023602
0.3;0.1;0.8;1.2648653794008071
0.3;0.1;0.9;1.1990670798034824
0.3;0.1;1.0;1.2262465714619446
0.3;0.2;0.0;-0.0
0.3;0.2;0.1;1.2356531844563672
0.3;0.2;0.2;1.3363076587337757
0.3;0.2;0.3;1.334761730699767
0.3;0.2;0.4;1.4053627119015946
0.3;0.2;0.5;1.317541310972852
0.3;0.2;0.6;1.4088246719467554
0.3;0.2;0.7;1.3959741487450437
0.3;0.2;0.8;1.3915275394363578
0.3;0.2;0.9;1.3931843100793009
0.3;0.2;1.0;1.33674701271473
0.3;0.3;0.0;-0.0
0.3;0.3;0.1;1.3345674905794551
0.3;0.3;0.2;1.3928268481738793
0.3;0.3;0.3;1.4583767973477089
0.3;0.3;0.4;1.3974972571245476
0.3;0.3;0.5;1.4396233999227204
0.3;0.3;0.6;1.520798945023632
0.3;0.3;0.7;1.5011370127136523
0.3;0.3;0.8;1.393795490873914
0.3;0.3;0.9;1.4197003285378689
0.3;0.3;1.0;1.4909349777950964
0.3;0.4;0.0;-0.0
0.3;0.4;0.1;1.392942716763388
0.3;0.4;0.2;1.4777021163706756
0.3;0.4;0.3;1.4981984347792494
0.3;0.4;0.4;1.5071700213576145
0.3;0.4;0.5;1.493346909413923
0.3;0.4;0.6;1.6031681496009589
0.3;0.4;0.7;1.5566896507114325
0.3;0.4;0.8;1.514642564502628
0.3;0.4;0.9;1.5301194654782233
0.3;0.4;1.0;1.4878130948394184
0.3;0.5;0.0;-0.0
0.3;0.5;0.1;1.4284246596662364
0.3;0.5;0.2;1.5320093815770586
0.3;0.5;0.3;1.5111709938835365
0.3;0.5;0.4;1.554581267007233
